"battery","bi","dutyCycle","lifespan"
"1",10,0.5,45
"1",10,1,33
"1",2,1,10
"1",5,1,21
"2",10,0.5,71
"2",10,1,52
"2",2,1,16
"2",5,1,33
"3-1",10,0.5,87
"3-1",10,1,64
"3-1",2,1,20
"3-1",5,1,41
"3-2",10,0.5,170
"3-2",10,1,124
"3-2",2,1,39
"3-2",5,1,80
"4-2",10,0.5,344
"4-2",10,1,251
"4-2",2,1,79
"4-2",5,1,163
"6-1",10,0.5,489
"6-1",10,1,357
"6-1",2,1,113
"6-1",5,1,232
"6-2",10,0.5,928
"6-2",10,1,678
"6-2",2,1,215
"6-2",5,1,441
"521",4 ,1,50
"521",7 ,1,80
"521",10,1,100
"521",13,1,120
"626",4 ,1,100
"626",7 ,1,160
"626",10,1,200
"626",13,1,240
"393",4 ,1,260
"393",7 ,1,410
"393",10,1,540
"393",13,1,640
"2-1",  1.1,  1,  7
"2-1",  1.3,  1,  9
"2-1",  1.7,  1, 11
"2-1",  1.9,  1, 12
"2-1",  2.00, 1, 13
"2-1",  2.3,  1, 15
"2-1",  2.9,  1, 18
"2-1",  3.1,  1, 19
"2-1",  3.7,  1, 23
"2-1",  4.1,  1, 25
"2-1",  4.3,  1, 26
"2-1",  4.7,  1, 28
"2-1",  4.9,  1, 29
"2-1",  5,    1, 30
"2-1",  5.10, 1, 30
"2-1",  5.3,  1, 31
"2-1",  5.5,  1, 32
"2-1",  5.9,  1, 34
"2-1",  6,    1, 35
"2-1",  6.1,  1, 35
"2-1",  6.5,  1, 37
"2-1",  6.7,  1, 38
"2-1",  7.1,  1, 40
"2-1",  7.3,  1, 41
"2-1",  7.5,  1, 42
"2-1",  7.6,  1, 42
"2-1",  7.9,  1, 43
"2-1",  8.1,  1, 44
"2-1",  8.3,  1, 45
"2-1",  8.9,  1, 48
"2-1",  9.6,  1, 50
"2-1",  9.7,  1, 51
"2-1", 10.1,  1, 52
"2-1", 10.3,  1, 53
"2-1", 10.5,  1, 54
"2-1", 10.7,  1, 55
"2-1", 10.9,  1, 56
"2-1", 11,    1, 56
"2-1", 11.3,  1, 57
"2-1", 12.5,  1, 61
"2-1", 12.7,  1, 62
"2-1", 13,    1, 63
"2-1", 13.1,  1, 63
"2-1", 13.7,  1, 65
"2-1", 13.9,  1, 66
"2-1", 14.5,  1, 68
"2-1", 14.9,  1, 69
"2-1", 15.1,  1, 70
