name,Yr,Month,Day,CaptureDate,time,LocationID,Province,Country,Latitude,Longitude,SpeciesID,MetalOut,AgeID,SexID,tarsus,Culmen,bill,Tot_Head,Wing,Weight,Release Time,FatScore,Nanotag_freq,Full_nano_id,TrackerID,id,Burst,blood,comments,Include_in_analysis
Christian Friis,2014,7,18,7-18-14,17:51,JBLR,Ontario,Canada,51.79167,-80.69167,SESA,246107901,AHY,U,,20.7,20.7,,96,26,17:51,3,166.38,,207,207@166.38:5.9,5.9,Y,Metal band upper right leg,Y
Christian Friis,2014,7,18,7-18-14,17:51,JBLR,Ontario,Canada,51.79167,-80.69167,SESA,246107902,AHY,U,,18.6,18.6,,96,24,17:51,2,166.38,,208,208@166.38:5.9,5.9,Y,Metal band upper right leg,Y
Christian Friis,2014,7,18,7-18-14,17:51,JBLR,Ontario,Canada,51.79167,-80.69167,SESA,246107903,AHY,U,,19.5,19.5,,99,26,17:51,3,166.38,,209,209@166.38:5.9,5.9,Y,Metal band upper right leg,Y
Christian Friis,2014,7,18,7-18-14,17:51,JBLR,Ontario,Canada,51.79167,-80.69167,SESA,246107904,AHY,U,,17.6,17.6,,95,27,17:51,4,166.38,,210,210@166.38:5.9,5.9,Y,Metal band upper right leg,Y
Christian Friis,2014,7,18,7-18-14,17:51,JBLR,Ontario,Canada,51.79167,-80.69167,SESA,246107906,AHY,U,,19.3,19.3,,94,25,17:51,2,166.38,,211,211@166.38:5.9,5.9,Y,Metal band upper right leg,Y
Christian Friis,2014,7,24,7-24-14,20:12,JBLP,Ontario,Canada,51.69167,-80.55833,SESA,269170604,AHY,U,,18,18.0,,95,22,20:12,,166.38,,212,212@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,7,27,7-27-14,20:18,JBLP,Ontario,Canada,51.69167,-80.55833,SESA,269170638,AHY,U,,18.8,18.8,,97,33,20:18,,166.38,,213,213@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,8,1,8-1-14,15:31,JBLP,Ontario,Canada,51.69167,-80.55833,SESA,269170685,AHY,U,,19.6,19.6,,97,,15:31,,166.38,,215,215@166.38:5.9,5.9,Y,metal band upper right leg - FW upper left leg - radio-transmitter (215) on back,Y
Christian Friis,2014,7,27,7-27-14,11:17,JBLP,Ontario,Canada,51.69167,-80.55833,DUNL,264101407,AHY,U,,36,36.0,,121,,11:17,,166.38,,217,217@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,7,27,7-27-14,20:18,JBLP,Ontario,Canada,51.69167,-80.55833,SESA,269170641,AHY,U,,19.9,19.9,,96,,20:18,,166.38,,218,218@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,7,27,7-27-14,20:18,JBLP,Ontario,Canada,51.69167,-80.55833,SESA,269170642,AHY,U,,18.2,18.2,,98,,20:18,,166.38,,219,219@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,7,26,7-26-14,11:17,JBLP,Ontario,Canada,51.69167,-80.55833,WRSA,264101406,AHY,U,,21.9,21.9,,126,,11:17,,166.38,,220,220@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,7,26,7-26-14,11:17,JBLP,Ontario,Canada,51.69167,-80.55833,WRSA,264101402,AHY,U,,23.3,23.3,,126,,11:17,,166.38,,221,221@166.38:5.9,5.9,Y,metal band upper right leg,Y
Christian Friis,2014,8,1,8-1-14,15:31,JBLP,Ontario,Canada,51.69167,-80.55833,SESA,269170687,AHY,U,,18.9,18.9,,96,,15:31,,166.38,,222,222@166.38:5.9,5.9,Y,metal band upper right leg - FW upper left leg - radio-transmitter (222) on back,Y
